"ID","TOC_m","TC_m","IC_m","TN_m","TCN_m"
"1-1BOTC",4.56972959084381,5.22606252641867,0.656332935717714,0.275476427805714,27.9031018622748
"1-2BOTA",12.288337667037,12.699239746336,0.408973507870476,0.330760089102857,52.5684955576298
"1-2BOTC",3.80677416506983,4.34144591284767,0.534746747902833,0.16551457848,31.4113061422251
"1-3BOTA",12.4031285376932,12.8285619343573,0.426245896914167,0.48045069096,31.8542239554933
"2-1BOTC",1.22785715283817,1.95426401426433,0.743525657425834,0.056901694615,31.945705322374
"2-3BOTA",12.2690186643272,12.5637454567,0.294189290997833,0.42432665286,33.2649417516145
"2-3BOTC",5.47841038314883,5.810947786167,0.332699903143167,0.32365529797,19.9702083681047
"3-1BOTA",76.4398407126088,77.266959684744,0.825668971135167,2.04369124795,42.9538546627154
"3-1BOTC",2.41338080528333,3.61967033738167,1.20615203222333,0.11813299391,250.259138598969
"3-2BOTA",14.8295357255033,15.1949005840347,0.367689857281333,0.22066533378,97.4543157273311
"3-2BOTC",2.27687099117533,3.84471496000967,1.56788146870933,0.050539965275,1411.16011051486
"3-3BOTA",12.5477921993693,13.118211038934,0.570606339689667,0.296380407505,56.2031567354903
"3-3BOTC",5.16881412894667,6.34935020735033,1.18091107827867,0.150818772815,45.8183159124655
"1-1BOTA",36.9462719826085,37.4086884734891,0.460576489480533,0.871690523064,52.0303679456741
"1-1MIDA",6.27847841835133,6.65518352052089,0.376721768169555,0.310824162426667,27.8218655106338
"1-1MIDC",2.32200948636267,2.93122397203809,0.609071628532571,0.13330571392,37.7741536150255
"1-2MIDC",10.7325773602107,11.024798516224,0.292221156013333,0.90530686316,12.177968559458
"1-2TOPA",43.4769783296904,43.8714412043797,0.394542874889333,1.177213673176,45.3446229267335
"1-3BOTC",4.39408845967289,4.91444222652311,0.520337100350222,0.265372388666667,28.6803343638012
"1-3TOPA",21.7602537900573,22.1440140398227,0.384385247765333,0.6894577339,42.4605908359163
"2-2BOTC",2.03328439002629,2.78030764786019,0.747023257691048,0.132961421851429,54.418742495382
"2-2MIDA",54.0283433537347,54.2720790829413,0.241660726956667,1.59704677418,41.3014500108284
"2-2TOPA",49.2516878003137,49.5399389739413,0.287601174127667,1.65544663283,33.5292285972326
"3-1MIDA",43.9637896071018,44.3025533525298,0.339130412428,1.96393177726667,29.6542909056774
"3-1MIDC",6.06345001070533,6.52071483723733,0.457264826532,0.90887674896,7.17447645645989
"3-1TOPA",57.3572994509413,57.8186757045582,0.462742920616889,1.65403114697333,35.0692339262341
"3-2MIDA",62.4627069732018,62.8016799948809,0.338473022679111,1.03069263396,63.2932119876827
"3-2MIDC",1.69825067132053,2.20415162065333,0.5058209495328,0.0375581158,227.784871119057
"3-3MIDA",48.8421700157834,49.1136414167451,0.271157114818857,1.47470973171429,35.132206809582
"3-3MIDC",3.37975326433134,3.82861013758267,0.448856873251333,0.13937339208,44.1567162837007
"1-3MIDA",25.4109904258907,25.6972287481131,0.2868183234224,0.537410161736,65.36669370543
"1-3MIDC",4.22404495885433,4.56567193507267,0.341626976218333,0.20284933514,35.7200566915558
"3-2TOPA",82.7387734223083,83.071702951156,0.333029530097667,2.24650635456,42.6768718242954
"1-1TOPA",50.1216676033333,51.0690936733333,0.948092740333333,1.53430358533333,34.4306971460226
"1-2MIDA",12.815391665,13.011763355,0.1963716925,0.8022818885,17.0096330889339
"2-1MIDA",38.489931588,38.820431084,0.3314794976,0.9014459842,52.4176610913275
"2-1TOPA",75.06241598,75.31054049,0.248124509,4.872009591,15.4577980776393
"2-2BOTA",43.883756566,44.219085832,0.3332292668,1.2616884936,51.4911585620315
"2-3MIDA",46.35188537,46.52759803,0.175712666,1.264726825,36.7886543641549
"2-3TOPA",46.24753101,46.49197839,0.245180716666667,1.08253548933333,53.9901268477472
"3-3TOPA",71.77767503,72.0092080333333,0.232533004333333,0.802193625,121.925645268611
"2-1BOTA",7.49817930875,7.8942639585,0.39595964975,0.232266239,37.0260509291292
"2-2MIDC",3.405810668,4.115967639,0.710090304333333,0.194748774333333,21.3585260958655
"2-1MIDC",3.152,3.593,0.4418,0.2635,13.6356736242884
"1-1 BOTA",20.7575,21.353,0.59805,0.6102,33.6021811387228
"1-1 TOPA",32.33,33.125,0.79555,0.79555,42.0389971845346
"1-1 MIDA",10.013,10.812,0.79765,0.241,49.45331802344
"1-1 BOTC",8.586,10.1765,1.594,0.1662,60.1713785435326
"1-1 MIDC",1.6645,3.1365,1.4715,0.0638,31.2931034482759
"1-2 TOPA",98.815,99.55,0.74965,1.8575,53.6145002836233
"1-2 MIDA",16.46,17.16,0.7071,0.7866,21.815408085431
"1-2 BOTA",12.51,13.83,1.32325,0.2865,48.173123740463
"1-2 BOTC",3.8475,6.3465,2.4995,0.09035,47.1223021582734
"1-3 TOPA",25.92,26.87,0.95165,0.57575,47.168225356364
"1-3 MIDA",15.94,16.515,0.5755,0.32295,51.1419262496196
"1-3 BOTA",8.2635,9.395,1.13245,0.2237,43.0616864386994
"1-3 MIDC",3.078,4.0075,0.9302,0.0639,45.6964006259781
"1-3 BOTC",3.362,4.5265,1.16465,0.0591,44.2301184433164
"2-1 MIDA",30.685,31.15,0.46255,0.4762,76.1410614817242
"2-1 BOTA",6.4325,7.104,0.67125,0.135715,59.273331380964
