"ID","pH_mean"
"1-1BOTC",5.3225
"1-2BOTC",4.97818181818182
"1-3BOTH",4.79666666666667
"2-1BOTC",5.591
"2-3BOTC",5.16181818181818
"3-1BOTC",5.52181818181818
"3-1BOTH",4.85636363636364
"3-2BOTC",5.75909090909091
"3-2BOTH",5.01454545454545
"3-3BOTC",5.44818181818182
"3-3BOTH",5.02727272727273
"1-1MIDH",5.267
"1-3BOTC",5.09
"1-3TOPH",4.60166666666667
"2-2BOTC",5.745
"2-3BOTH",4.826
"3-3MIDC",5.52333333333333
"3-3MIDH",4.372
"1-1MIDC",5.746
"1-2TOPH",3.98142857142857
"1-3MIDC",5.2775
"1-3MIDH",4.61375
"3-2TOPH",4.36666666666667
"1-1BOTH",4.63
"1-1TOPH",4.448
"1-2BOTH",4.56125
"2-1MIDH",4.34
"2-2BOTH",4.55
"2-2TOPH",4.398
"2-3MIDH",4.8875
"3-1TOPH",4.504
"3-2MIDC",5.57333333333333
"3-2MIDH",4.46714285714286
"3-3TOPH",4.25333333333333
"2-1BOTH",4.81285714285714
"2-2MIDC",5.41333333333333
"2-3MIDC",5.36666666666667
"2-2MIDH",4.73333333333333
"2-3TOPH",4.76
"2-1MIDC",5.025
"3-1MIDH",4.57666666666667
"2-1TOPH",4.195
"1-2MIDC",4.73
"1-2MIDH",4.25
